A,B
-15.0,-464.0
-14.96996996996997,-461.0483501474402
-14.93993993993994,-458.1092984515686
-14.90990990990991,-455.1828178312229
-14.87987987987988,-452.2688812052409
-14.84984984984985,-449.3674614924603
-14.81981981981982,-446.47853161171884
-14.78978978978979,-443.60206448185414
-14.75975975975976,-440.73803302170404
-14.72972972972973,-437.8864101501062
-14.6996996996997,-435.0471687858985
-14.66966966966967,-432.22028184791844
-14.63963963963964,-429.405722255004
-14.60960960960961,-426.6034629259925
-14.57957957957958,-423.81347677972224
-14.54954954954955,-421.03573673503064
-14.51951951951952,-418.27021571075534
-14.48948948948949,-415.51688662573423
-14.45945945945946,-412.77572239880493
-14.42942942942943,-410.0466959488052
-14.3993993993994,-407.32978019457295
-14.36936936936937,-404.62494805494566
-14.33933933933934,-401.93217244876115
-14.30930930930931,-399.2514262948571
-14.27927927927928,-396.58268251207136
-14.24924924924925,-393.9259140192416
-14.21921921921922,-391.28109373520556
-14.18918918918919,-388.6481945788008
-14.15915915915916,-386.0271894688654
-14.12912912912913,-383.4180513242368
-14.0990990990991,-380.8207530637528
-14.06906906906907,-378.2352676062512
-14.03903903903904,-375.6615678705697
-14.00900900900901,-373.0996267755459
-13.97897897897898,-370.54941724001776
-13.94894894894895,-368.01091218282284
-13.91891891891892,-365.484084522799
-13.88888888888889,-362.9689071787837
-13.85885885885886,-360.46535306961505
-13.82882882882883,-357.9733951141305
-13.7987987987988,-355.49300623116784
-13.76876876876877,-353.02415933956485
-13.73873873873874,-350.56682735815923
-13.70870870870871,-348.1209832057887
-13.67867867867868,-345.68659980129115
-13.64864864864865,-343.26365006350403
-13.618618618618619,-340.85210691126525
-13.588588588588589,-338.45194326341243
-13.558558558558559,-336.0631320387834
-13.528528528528529,-333.68564615621585
-13.498498498498499,-331.3194585345475
-13.468468468468469,-328.96454209261617
-13.438438438438439,-326.62086974925944
-13.408408408408409,-324.2884144233151
-13.378378378378379,-321.96714903362096
-13.348348348348349,-319.6570464990146
-13.318318318318319,-317.35807973833386
-13.288288288288289,-315.07022167041646
-13.258258258258259,-312.7934452141001
-13.228228228228229,-310.52772328822255
-13.198198198198199,-308.27302881162154
-13.168168168168169,-306.0293347031346
-13.138138138138139,-303.7966138815998
-13.108108108108109,-301.5748392658547
-13.078078078078079,-299.36398377473694
-13.048048048048049,-297.16402032708436
-13.018018018018019,-294.9749218417346
-12.987987987987989,-292.79666123752554
-12.957957957957959,-290.6292114332948
-12.927927927927929,-288.47254534788016
-12.897897897897899,-286.3266359001193
-12.867867867867869,-284.19145600885
-12.837837837837839,-282.06697859291
-12.807807807807809,-279.9531765711369
-12.777777777777779,-277.8500228623686
-12.747747747747749,-275.7574903854427
-12.717717717717719,-273.67555205919695
-12.687687687687689,-271.6041808024692
-12.657657657657658,-269.54334953409705
-12.627627627627628,-267.49303117291834
-12.597597597597598,-265.45319863777064
-12.567567567567568,-263.4238248474918
-12.537537537537538,-261.4048827209195
-12.507507507507508,-259.3963451768915
-12.477477477477477,-257.39818513424547
-12.447447447447447,-255.4103755118192
-12.417417417417417,-253.43288922845048
-12.387387387387387,-251.46569920297696
-12.357357357357357,-249.50877835423637
-12.327327327327327,-247.5620996010664
-12.297297297297296,-245.62563586230488
-12.267267267267266,-243.69936005678954
-12.237237237237236,-241.78324510335796
-12.207207207207206,-239.87726392084795
-12.177177177177176,-237.98138942809732
-12.147147147147146,-236.09559454394372
-12.117117117117116,-234.2198521872249
-12.087087087087086,-232.3541352767786
-12.057057057057056,-230.4984167314425
-12.027027027027026,-228.65266947005435
-11.996996996996996,-226.81686641145188
-11.966966966966966,-224.99098047447285
-11.936936936936936,-223.1749845779551
-11.906906906906906,-221.36885164073607
-11.876876876876876,-219.57255458165372
-11.846846846846846,-217.7860663195457
-11.816816816816816,-216.0093597732498
-11.786786786786786,-214.24240786160357
-11.756756756756756,-212.48518350344494
-11.726726726726726,-210.7376596176116
-11.696696696696696,-208.9998091229412
-11.666666666666666,-207.2716049382715
-11.636636636636636,-205.55301998244033
-11.606606606606606,-203.84402717428532
-11.576576576576576,-202.14459943264418
-11.546546546546546,-200.4547096763547
-11.516516516516516,-198.77433082425458
-11.486486486486486,-197.10343579518155
-11.456456456456456,-195.44199750797338
-11.426426426426426,-193.7899888814677
-11.396396396396396,-192.14738283450237
-11.366366366366366,-190.51415228591497
-11.336336336336336,-188.8902701545434
